# time msd_polymer msd_dumbbell msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
      0.0000  -0.00000203   0.00000000  -0.00000143  -0.00000018   0.00000381
     10.0000   3.86028903   9.70154189   3.73797243   2.98098406   2.98258540
     20.0000   7.32559270  20.33807625   7.83749048   6.28714725   6.21343851
     30.0000  10.69819536  31.11729446  11.94341137   9.65496342   9.51891967
     40.0000  14.03601558  41.93362296  16.11567090  13.04216778  12.77578428
     50.0000  17.36066578  52.77740607  20.32779360  16.44354362  16.00606885
     60.0000  20.68942016  63.68749287  24.58783947  19.86342255  19.23623086
     70.0000  24.01989245  74.64467534  28.89920235  23.30511300  22.44035999
     80.0000  27.35648027  85.63175770  33.23974383  26.73839302  25.65362086
     90.0000  30.69420910  96.66000132  37.61035847  30.23370743  28.81593543
    100.0000  34.04048550 107.65854597  41.93792362  33.75143951  31.96918285
    110.0000  37.38900294 118.56417568  46.21592009  37.25916606  35.08908953
    120.0000  40.73629936 129.56293640  50.51436335  40.81370240  38.23487065
    130.0000  44.07942564 140.48455094  54.77974757  44.37756106  41.32724232
    140.0000  47.41198258 151.50091301  59.06457853  47.98387678  44.45245770
    150.0000  50.74698076 162.61417865  63.38464440  51.57347447  47.65605978
    160.0000  54.08578262 173.74742420  67.69992596  55.14169785  50.90580039
    170.0000  57.41848714 184.83720440  72.02213688  58.66092292  54.15414460
    180.0000  60.75217323 195.86551787  76.30164381  62.16285051  57.40102355
    190.0000  64.07702078 206.90064428  80.53849396  65.69680393  60.66534639
    200.0000  67.39812236 217.88879199  84.77678722  69.18638378  63.92562099
    210.0000  70.71489628 228.86793141  89.04764569  72.64966188  67.17062384
    220.0000  74.02482136 239.86394081  93.32910244  76.09970899  70.43512939
    230.0000  77.33400623 250.92246817  97.69335366  79.54292881  73.68618569
    240.0000  80.63973776 261.87797330 101.99602254  82.99538172  76.88656903
    250.0000  83.95336870 272.88081097 106.33899553  86.46649860  80.07531683
    260.0000  87.26466629 283.89642281 110.69633327  89.94875233  83.25133721
    270.0000  90.58169590 294.91794723 115.05981841  93.43975882  86.41837000
    280.0000  93.89673738 305.90191061 119.44593822  96.93115507  89.52481731
    290.0000  97.20607607 316.90249207 123.88576116 100.40541485  92.61131606
    300.0000 100.51740635 327.96489642 128.30519396 103.88921371  95.77048876
    310.0000 103.82878434 338.89036005 132.70026472 107.28712723  98.90296810
    320.0000 107.13962435 349.78840889 137.09859347 110.66445446 102.02536096
    330.0000 110.45374863 360.64844196 141.48560498 114.00693774 105.15589924
    340.0000 113.77406782 371.62061660 145.88190663 117.43616007 108.30254991
    350.0000 117.09591755 382.59652911 150.25706150 120.87690488 111.46256274
    360.0000 120.41571963 393.56699282 154.63579411 124.31908259 114.61211612
    370.0000 123.74088593 404.60762924 159.04449075 127.81327367 117.74986482
    380.0000 127.06519374 415.61522307 163.41065678 131.30270725 120.90185904
    390.0000 130.39082691 426.51105937 167.72524062 134.75630079 124.02951796
    400.0000 133.71014127 437.41347932 172.01434979 138.20153115 127.19759838
    410.0000 137.02324839 448.27383528 176.26375830 141.65871197 130.35136502
    420.0000 140.33656411 459.14381273 180.51149584 145.12647129 133.50584561
    430.0000 143.64518603 469.99008550 184.76612121 148.54328271 136.68068158
    440.0000 146.94217391 480.67597700 189.00951126 151.88470524 139.78176049
    450.0000 150.23255890 491.31970904 193.25645365 155.21186485 142.85139053
    460.0000 153.51805209 501.92863381 197.42012068 158.54182224 145.96669089
    470.0000 156.80179013 512.60575476 201.59382829 161.87365066 149.13827582
    480.0000 160.09185265 523.24670680 205.73380232 165.18476846 152.32813602
    490.0000 163.38498471 533.72228915 209.82013240 168.44800359 155.45415316
    500.0000 166.68641556 544.24662322 213.90826071 171.74954467 158.58881785
    510.0000 169.98837748 554.73145783 218.02360532 174.99838047 161.70947204
    520.0000 173.29121001 565.13148905 222.09864179 178.19255286 164.84029440
    530.0000 176.60094828 575.37685680 226.14711165 181.31882469 167.91092047
    540.0000 179.90338511 585.47968247 230.18471181 184.39659987 170.89837079
    550.0000 183.20421820 595.52046006 234.21902690 187.41122966 173.89020350
    560.0000 186.49937411 605.61791844 238.22257414 190.46942811 176.92591618
    570.0000 189.78890563 615.69043338 242.18828135 193.51296399 179.98918804
    580.0000 193.07627484 625.66426788 246.10282132 196.54761344 183.01383312
    590.0000 196.36845787 635.63668560 250.04862713 199.58558776 186.00247070
    600.0000 199.66246531 645.62120614 253.99383510 202.62033221 189.00703883
    610.0000 202.95181081 655.56113820 257.90458911 205.64848123 192.00806786
    620.0000 206.23636802 665.46917343 261.78010881 208.67535395 195.01371067
    630.0000 209.51750758 675.38254571 265.59088527 211.75297082 198.03868962
    640.0000 212.79952325 685.34317420 269.42012397 214.86263577 201.06041446
    650.0000 216.08353162 695.41832281 273.31700566 217.99789086 204.10342628
    660.0000 219.36072799 705.54426715 277.22036165 221.14263972 207.18126577
    670.0000 222.63964289 715.62657100 281.11348633 224.28060569 210.23247898
    680.0000 225.91224587 725.72069680 285.00036656 227.41553169 213.30479856
    690.0000 229.18514331 735.74975253 288.88067812 230.53988907 216.32918534
    700.0000 232.45918059 745.72452347 292.73989886 233.67690677 219.30771784
    710.0000 235.73368505 755.68933175 296.62730236 236.77333869 222.28869070
    720.0000 239.01468652 765.56685237 300.50160253 239.85966564 225.20558420
    730.0000 242.29897663 775.45740236 304.42949765 242.90295996 228.12494476
    740.0000 245.58749367 785.35911069 308.35967923 245.95134114 231.04809032
    750.0000 248.88500292 795.31043383 312.31950576 249.02609123 233.96483683
    760.0000 252.19113168 805.21702988 316.26791757 252.08504237 236.86406995
    770.0000 255.50150626 815.04762427 320.23287096 255.10059843 239.71415488
    780.0000 258.81305230 824.90980060 324.24184103 258.14171463 242.52624494
    790.0000 262.13050289 834.79454238 328.28693246 261.15562230 245.35198762
    800.0000 265.45389171 844.57004030 332.30947441 264.13511578 248.12545011
    810.0000 268.78232418 854.33721806 336.31492077 267.10304075 250.91925654
    820.0000 272.10800288 864.15125127 340.30063250 270.08698766 253.76363111
    830.0000 275.42984291 874.00826453 344.24453089 273.12768437 256.63604927
    840.0000 278.74724970 883.84882366 348.16982351 276.18294913 259.49605102
    850.0000 282.06229537 893.64174931 352.08390970 279.24814790 262.30969171
    860.0000 285.37306182 903.46187868 356.03607312 282.30203955 265.12376601
    870.0000 288.67773044 913.26185219 360.00507264 285.33833594 267.91844362
    880.0000 291.97421714 922.91584264 363.94561774 288.32314350 270.64708140
    890.0000 295.26899491 932.65168585 367.90936408 291.36083669 273.38148508
    900.0000 298.56528006 942.38327118 371.84468330 294.41268454 276.12590334
    910.0000 301.86384778 952.12874945 375.78304522 297.44354875 278.90215548
    920.0000 305.15820008 961.93553739 379.74773844 300.48647262 281.70132633
    930.0000 308.44712896 971.79312954 383.72218180 303.57370095 284.49724679
    940.0000 311.73085939 981.64580357 387.67107088 306.68020456 287.29452814
    950.0000 315.01064589 991.29454903 391.51299937 309.76151030 290.02003937
    960.0000 318.28626993 1000.94637769 395.35071744 312.84579922 292.74986103
    970.0000 321.56501636 1010.58648799 399.19619236 315.90210222 295.48819341
    980.0000 324.83627152 1020.17718871 403.00447664 318.95938071 298.21333136
    990.0000 328.10366383 1029.80067439 406.80943118 322.05517337 300.93606985
   1000.0000 331.36687878 1039.51423821 410.65860258 325.15852827 303.69710736
   1010.0000 334.63568903 1049.17924231 414.45557027 328.24695136 306.47672068
   1020.0000 337.90949501 1058.89340384 418.24186432 331.39222466 309.25931486
   1030.0000 341.17793521 1068.55947233 422.01543239 334.49455035 312.04948959
   1040.0000 344.44932238 1078.22358403 425.76853153 337.58871456 314.86633794
   1050.0000 347.71527341 1087.96499946 429.55143646 340.68125426 317.73230873
   1060.0000 350.98792598 1097.75381658 433.36397082 343.75789486 320.63195089
   1070.0000 354.26337403 1107.42202753 437.10727401 346.82037126 323.49438227
   1080.0000 357.54167507 1117.11539209 440.90159623 349.85354073 326.36025512
   1090.0000 360.81976362 1126.80444836 444.68764549 352.89280347 329.22399940
   1100.0000 364.09703652 1136.49815845 448.48629560 355.93044543 332.08141742
   1110.0000 367.36970506 1146.23550317 452.32901344 358.96484879 334.94164094
   1120.0000 370.63022607 1156.02981488 456.24092142 361.98595822 337.80293524
   1130.0000 373.88818189 1165.81547215 460.11476645 365.03640416 340.66430154
   1140.0000 377.13306297 1175.65978129 464.00897737 368.10692986 343.54387406
   1150.0000 380.37481394 1185.51889100 467.90961113 371.22318937 346.38609050
   1160.0000 383.62409433 1195.39079173 471.83078967 374.32373691 349.23626515
   1170.0000 386.87828085 1205.15933516 475.72681173 377.36549773 352.06702571
   1180.0000 390.13575709 1214.89062007 479.63009805 380.37978142 354.88074059
   1190.0000 393.40142612 1224.61646375 483.54357804 383.36257049 357.71031522
   1200.0000 396.67260869 1234.23708365 487.36021207 386.32918539 360.54768618
   1210.0000 399.94901554 1243.84023951 491.23905333 389.22841825 363.37276793
   1220.0000 403.22506522 1253.55999022 495.19783263 392.13428326 366.22787433
   1230.0000 406.50639551 1263.29569455 499.15218554 395.08191205 369.06159696
   1240.0000 409.79154387 1272.91283067 503.06422520 398.03971584 371.80888963
   1250.0000 413.06898209 1282.54769130 506.99809118 401.00987414 374.53972597
   1260.0000 416.34320054 1292.26000382 510.97440459 403.99866528 377.28693395
   1270.0000 419.61192187 1301.91390477 514.92378203 406.97172288 380.01839986
   1280.0000 422.88040021 1311.54532748 518.85981976 409.93354410 382.75196363
   1290.0000 426.14336507 1321.27243612 522.84725072 412.95999398 385.46519141
   1300.0000 429.40071989 1331.00076187 526.80999979 416.00843974 388.18232235
   1310.0000 432.65400837 1340.69452027 530.76662488 419.05142367 390.87647172
   1320.0000 435.90609777 1350.36725538 534.71161169 422.08593468 393.56970900
   1330.0000 439.15957276 1360.05605734 538.67123726 425.08226641 396.30255367
   1340.0000 442.41740439 1369.80664347 542.64568824 428.09901820 399.06193702
   1350.0000 445.67402505 1379.51888552 546.59256238 431.07409553 401.85222761
   1360.0000 448.92484702 1389.27416678 550.55689641 434.05743063 404.65983975
   1370.0000 452.18189181 1398.99921783 554.48660062 437.06833649 407.44428072
   1380.0000 455.43352806 1408.77518400 558.42249274 440.08468725 410.26800401
   1390.0000 458.68412284 1418.55945772 562.35332027 443.08460040 413.12153705
   1400.0000 461.93506323 1428.43037703 566.35032215 446.10058314 415.97947174
   1410.0000 465.18051569 1438.30233057 570.33389293 449.15191503 418.81652260
   1420.0000 468.42671162 1448.19039881 574.28272134 452.23679470 421.67088276
   1430.0000 471.67095394 1458.03678751 578.23080165 455.33965382 424.46633205
   1440.0000 474.90972057 1467.85647321 582.17204824 458.41875887 427.26566610
   1450.0000 478.14819917 1477.62049738 586.10291363 461.45527448 430.06230927
   1460.0000 481.38268783 1487.37363625 589.98983317 464.51308024 432.87072284
   1470.0000 484.60900998 1497.20336970 593.90271387 467.60731240 435.69334343
   1480.0000 487.83723681 1507.05157904 597.87174338 470.68666509 438.49317058
   1490.0000 491.06856579 1516.83319227 601.81976022 473.73015017 441.28328187
   1500.0000 494.30212327 1526.65001734 605.79348727 476.79193299 444.06459708
   1510.0000 497.53135650 1536.51258225 609.77288500 479.87157874 446.86811850
   1520.0000 500.76099543 1546.38632546 613.71792488 482.97482510 449.69357548
   1530.0000 503.98676672 1556.29844836 617.66547285 486.06323784 452.56973767
   1540.0000 507.20700446 1566.13448513 621.58595794 489.09406000 455.45446719
   1550.0000 510.42526408 1575.94006256 625.50727322 492.13854869 458.29424065
   1560.0000 513.64526638 1585.76232262 629.40654148 495.23986599 461.11591515
   1570.0000 516.86775879 1595.69480707 633.33026611 498.33873337 464.02580758
   1580.0000 520.08188004 1605.67017882 637.26256634 501.45285470 466.95475778
   1590.0000 523.30175012 1615.60880550 641.20123489 504.56036314 469.84720747
   1600.0000 526.52094286 1625.47470637 645.12293282 507.64070669 472.71106686
   1610.0000 529.74694877 1635.35207279 649.03260883 510.70013758 475.61932638
   1620.0000 532.97490327 1645.16180225 652.89990564 513.77829572 478.48360088
   1630.0000 536.21212259 1654.97511066 656.78634152 516.80817270 481.38059644
   1640.0000 539.45413035 1664.74651323 660.66374563 519.83055906 484.25220854
   1650.0000 542.70688119 1674.49099277 664.55105213 522.83962818 487.10031245
   1660.0000 545.96747934 1684.33358696 668.41693736 525.95980619 489.95684341
   1670.0000 549.23684804 1694.19206171 672.28657359 529.09287104 492.81261707
   1680.0000 552.50860796 1704.20661870 676.15486418 532.26864344 495.78311108
